,First,Last,Nickname,Ht.,Wt.,Reach,Stance,W,L,D,Belt,W/L,Fighter,Kd,Str,Td,Sub,Weight class,Method,Round,Time,Event
0,Tom,Aaron,,--,155 lbs.,--,,5.0,3.0,0.0,,,,,,,,,,,,
1,Danny,Abbadi,The Assassin,"5' 11""",155 lbs.,--,Orthodox,4.0,6.0,0.0,,,,,,,,,,,,
2,David,Abbott,Tank,"6' 0""",265 lbs.,--,Switch,10.0,15.0,0.0,,,,,,,,,,,,
3,Hamdy,Abdelwahab,The Hammer,"6' 2""",261 lbs.,--,,5.0,0.0,0.0,,,,,,,,,,,,
4,Shamil,Abdurakhimov,Abrek,"6' 3""",235 lbs.,"76.0""",Orthodox,20.0,7.0,0.0,,,,,,,,,,,,
5,Hiroyuki,Abe,Abe Ani,"5' 6""",145 lbs.,--,Orthodox,8.0,15.0,3.0,,,,,,,,,,,,
6,Daichi,Abe,,"5' 11""",170 lbs.,"71.0""",Orthodox,6.0,2.0,0.0,,,,,,,,,,,,
7,Papy,Abedi,Makambo,"5' 11""",185 lbs.,--,Southpaw,10.0,4.0,0.0,,,,,,,,,,,,
8,Ricardo,Abreu,Demente,"5' 11""",185 lbs.,--,Orthodox,5.0,1.0,0.0,,,,,,,,,,,,
9,Klidson,Abreu,White Bear,"6' 0""",205 lbs.,"74.0""",Orthodox,15.0,4.0,0.0,,,,,,,,,,,,
10,Daniel,Acacio,,"5' 8""",180 lbs.,--,Orthodox,30.0,18.0,0.0,,,,,,,,,,,,
11,John,Adajar,The Outlaw,"5' 9""",170 lbs.,"75.0""",Orthodox,6.0,2.0,0.0,,,,,,,,,,,,
12,Scott,Adams,,"6' 0""",225 lbs.,--,Southpaw,8.0,1.0,0.0,,,,,,,,,,,,
13,Juan,Adams,The Kraken,"6' 5""",265 lbs.,"80.0""",Orthodox,5.0,3.0,0.0,,,,,,,,,,,,
14,Anthony,Adams,Sugafoot,"6' 1""",185 lbs.,"76.0""",Orthodox,8.0,2.0,0.0,,,,,,,,,,,,
15,Zarrukh,Adashev,The Lion,"5' 5""",125 lbs.,"65.0""",Southpaw,4.0,4.0,0.0,,,,,,,,,,,,
16,Israel,Adesanya,The Last Stylebender,"6' 4""",185 lbs.,"80.0""",Switch,22.0,1.0,0.0,,,,,,,,,,,,
17,Sam,Adkins,The Experience,"6' 3""",225 lbs.,--,Orthodox,7.0,20.0,2.0,,,,,,,,,,,,
18,Nick,Agallar,,"5' 8""",155 lbs.,--,Orthodox,24.0,6.0,0.0,,,,,,,,,,,,
19,Mariya,Agapova,Demonslayer,"5' 6""",125 lbs.,"68.0""",Southpaw,10.0,3.0,0.0,,,,,,,,,,,,
20,Marcelo,Aguiar,,"5' 10""",170 lbs.,--,Orthodox,2.0,3.0,1.0,,,,,,,,,,,,
21,Fabio,Aguiar,,"6' 0""",185 lbs.,--,,17.0,1.0,0.0,,,,,,,,,,,,
22,Edwin,Aguilar,Tigre,"5' 10""",185 lbs.,--,,26.0,19.0,0.0,,,,,,,,,,,,
23,Jessica,Aguilar,Jag,"5' 3""",115 lbs.,"63.0""",Orthodox,20.0,8.0,0.0,,,,,,,,,,,,
24,Kevin,Aguilar,Angel of Death,"5' 7""",155 lbs.,"73.0""",Orthodox,17.0,5.0,0.0,,,,,,,,,,,,
25,Christian,Aguilera,The Beast,"5' 9""",170 lbs.,"72.0""",Switch,14.0,8.0,0.0,,,,,,,,,,,,
26,Mike,Aina,Iron,"5' 9""",155 lbs.,--,Orthodox,14.0,6.0,1.0,,,,,,,,,,,,
27,Hitomi,Akano,Girlfight Monster,"5' 4""",135 lbs.,--,Southpaw,18.0,10.0,0.0,,,,,,,,,,,,
28,Omari,Akhmedov,Wolverine,"6' 0""",185 lbs.,"73.0""",Orthodox,21.0,6.0,1.0,,,,,,,,,,,,
29,Yoshihiro,Akiyama,,"5' 10""",170 lbs.,"75.0""",Orthodox,14.0,6.0,0.0,,,,,,,,,,,,
30,Rostem,Akman,,"5' 10""",170 lbs.,"72.0""",Switch,6.0,2.0,0.0,,,,,,,,,,,,
31,Razak,Al-Hassan,,"6' 2""",205 lbs.,--,Orthodox,13.0,5.0,0.0,,,,,,,,,,,,
32,Mostapha,Al-Turk,,"6' 2""",245 lbs.,"77.0""",Orthodox,6.0,6.0,0.0,,,,,,,,,,,,
33,Herdem,Alacabek,,"6' 2""",205 lbs.,"75.0""",Orthodox,5.0,1.0,0.0,,,,,,,,,,,,
34,Javi,Alanis,,"5' 6""",135 lbs.,--,,0.0,4.0,0.0,,,,,,,,,,,,
35,,Alatengheili,The Mongolian Knight,"5' 5""",135 lbs.,"66.0""",Orthodox,15.0,8.0,2.0,,,,,,,,,,,,
36,Amir,Albazi,The Prince,"5' 5""",125 lbs.,"68.0""",Orthodox,14.0,1.0,0.0,,,,,,,,,,,,
37,Brett,Albee,,--,225 lbs.,--,,3.0,2.0,0.0,,,,,,,,,,,,
38,John,Albert,Prince,"5' 8""",135 lbs.,"68.0""",Orthodox,6.0,5.0,0.0,,,,,,,,,,,,
39,Junior,Albini,Baby,"6' 3""",264 lbs.,"74.0""",Orthodox,14.0,6.0,0.0,,,,,,,,,,,,
40,Wes,Albritton,,"5' 10""",188 lbs.,--,Orthodox,0.0,1.0,0.0,,,,,,,,,,,,
41,Aleksandra,Albu,Stitch,"5' 2""",115 lbs.,"63.0""",Orthodox,3.0,2.0,0.0,,,,,,,,,,,,
42,Israel,Albuquerque,,--,185 lbs.,--,Orthodox,0.0,3.0,0.0,,,,,,,,,,,,
43,Juan,Alcain,,--,--,--,,1.0,2.0,0.0,,,,,,,,,,,,
44,Iuri,Alcantara,Marajo,"5' 9""",135 lbs.,"71.0""",Southpaw,35.0,10.0,0.0,,,,,,,,,,,,
45,Ildemar,Alcantara,Marajo,"6' 2""",185 lbs.,"78.0""",Orthodox,21.0,11.0,0.0,,,,,,,,,,,,
46,Alfonso,Alcarez,,"5' 3""",145 lbs.,--,,1.0,3.0,1.0,,,,,,,,,,,,
47,Gilbert,Aldana,El Peligro,"6' 1""",250 lbs.,--,Orthodox,6.0,2.0,0.0,,,,,,,,,,,,
48,Irene,Aldana,,"5' 9""",135 lbs.,"68.0""",Orthodox,13.0,6.0,0.0,,,,,,,,,,,,
49,Hector,Aldana,,"5' 11""",170 lbs.,"72.0""",Orthodox,4.0,3.0,0.0,,,,,,,,,,,,
50,Jose,Alday,Pochito,"5' 7""",135 lbs.,"68.0""",Orthodox,14.0,6.0,1.0,,,,,,,,,,,,
51,Jose,Aldo,,"5' 7""",135 lbs.,"70.0""",Orthodox,31.0,7.0,0.0,,,,,,,,,,,,
52,JJ,Aldrich,,"5' 5""",125 lbs.,"67.0""",Southpaw,11.0,5.0,0.0,,,,,,,,,,,,
53,Jim,Alers,The Beast,"5' 9""",145 lbs.,"71.0""",Orthodox,13.0,3.0,0.0,,,,,,,,,,,,
54,John,Alessio,The Natural,"5' 10""",155 lbs.,"72.0""",Orthodox,35.0,17.0,0.0,,,,,,,,,,,,
55,Houston,Alexander,The Assassin,"6' 0""",205 lbs.,"72.0""",Orthodox,17.0,15.0,1.0,,,,,,,,,,,,
56,Kenneth,Alexander,The Machine,"5' 9""",155 lbs.,--,Orthodox,7.0,6.0,0.0,,,,,,,,,,,,
57,Marcio,Alexandre Junior,Lyoto,"6' 0""",185 lbs.,"75.0""",Southpaw,17.0,4.0,0.0,,,,,,,,,,,,
58,Olaf,Alfonso,,"6' 2""",170 lbs.,--,Orthodox,8.0,12.0,0.0,,,,,,,,,,,,
59,Pablo,Alfonso,The Hurricane,"5' 8""",145 lbs.,--,,9.0,7.0,0.0,,,,,,,,,,,,
60,Levi,Alford,,--,--,--,,1.0,7.0,0.0,,,,,,,,,,,,
61,Bill,Algeo,Senor Perfecto,"6' 0""",145 lbs.,"73.0""",Switch,15.0,6.0,0.0,,,,,,,,,,,,
62,Royce,Alger,,"5' 10""",199 lbs.,--,Orthodox,3.0,2.0,0.0,,,,,,,,,,,,
63,Amir,Aliakbari,,"6' 3""",250 lbs.,--,,10.0,1.0,0.0,,,,,,,,,,,,
64,Sultan,Aliev,,"5' 11""",170 lbs.,"74.0""",Orthodox,15.0,3.0,0.0,,,,,,,,,,,,
65,Ikram,Aliskerov,,"6' 0""",185 lbs.,--,,12.0,1.0,0.0,,,,,,,,,,,,
66,Leon,Aliu,,"6' 0""",185 lbs.,--,,10.0,1.0,0.0,,,,,,,,,,,,
67,John,Allan,,"6' 1""",205 lbs.,"75.0""",Orthodox,13.0,7.0,0.0,,,,,,,,,,,,
68,George,Allen,,"6' 2""",205 lbs.,--,Open Stance,13.0,19.0,2.0,,,,,,,,,,,,
69,Arnold,Allen,Almighty,"5' 8""",145 lbs.,"70.0""",Southpaw,18.0,1.0,0.0,,,,,,,,,,,,
70,Brendan,Allen,All In,"6' 2""",185 lbs.,"75.0""",Orthodox,19.0,5.0,0.0,,,,,,,,,,,,
71,Ben,Alloway,Blanco,"5' 11""",170 lbs.,"76.0""",Orthodox,18.0,8.0,0.0,,,,,,,,,,,,
72,Ricardo,Almeida,Big Dog,"6' 0""",170 lbs.,"74.0""",Orthodox,13.0,5.0,0.0,,,,,,,,,,,,
73,Magno,Almeida,,"6' 0""",155 lbs.,--,,10.0,3.0,0.0,,,,,,,,,,,,
74,Thomas,Almeida,Thominhas,"5' 7""",145 lbs.,"70.0""",Southpaw,22.0,5.0,0.0,,,,,,,,,,,,
75,Ericka,Almeida,,"5' 6""",115 lbs.,--,Orthodox,7.0,3.0,0.0,,,,,,,,,,,,
76,Estefani,Almeida,,"5' 4""",125 lbs.,--,Orthodox,7.0,3.0,0.0,,,,,,,,,,,,
77,Jailton,Almeida,Malhadinho,"6' 3""",205 lbs.,"79.0""",Orthodox,16.0,2.0,0.0,,,,,,,,,,,,
78,Lucas,Almeida,,"5' 11""",145 lbs.,"71.0""",Orthodox,13.0,1.0,0.0,,,,,,,,,,,,
79,Mauricio,Alonso,,"6' 2""",170 lbs.,--,,13.0,7.0,0.0,,,,,,,,,,,,
80,Sarah,Alpar,Too Sweet,"5' 4""",135 lbs.,"63.0""",Southpaw,9.0,6.0,0.0,,,,,,,,,,,,
81,Ali,AlQaisi,The Royal Fighter,"5' 6""",135 lbs.,"68.0""",Orthodox,8.0,5.0,0.0,,,,,,,,,,,,
82,Rico,Altamirano,,"5' 10""",170 lbs.,--,,4.0,3.0,0.0,,,,,,,,,,,,
83,Victor,Altamirano,El Magnifico,"5' 8""",125 lbs.,"70.0""",Switch,10.0,2.0,0.0,,,,,,,,,,,,
84,Mike,Altman,,"5' 10""",185 lbs.,--,Orthodox,1.0,4.0,0.0,,,,,,,,,,,,
85,Sean,Alvarez,,"6' 0""",235 lbs.,--,Orthodox,4.0,3.0,0.0,,,,,,,,,,,,
86,Eddie,Alvarez,,"5' 9""",155 lbs.,"69.0""",Orthodox,29.0,6.0,0.0,,,,,,,,,,,,
87,Jaime,Alvarez,,"5' 8""",125 lbs.,"69.0""",Orthodox,6.0,1.0,0.0,,,,,,,,,,,,
88,Joel,Alvarez,El Fenomeno,"6' 3""",155 lbs.,"77.0""",Orthodox,19.0,3.0,0.0,,,,,,,,,,,,
89,Thiago,Alves,Pitbull,"5' 9""",170 lbs.,"70.0""",Orthodox,23.0,15.0,0.0,,,,,,,,,,,,
90,Anthony,Alves,,--,--,--,,1.0,4.0,0.0,,,,,,,,,,,,
91,Amilcar,Alves,,"6' 0""",170 lbs.,--,Southpaw,15.0,12.0,0.0,,,,,,,,,,,,
92,Warlley,Alves,,"5' 11""",170 lbs.,"72.0""",Orthodox,15.0,5.0,0.0,,,,,,,,,,,,
93,Rafael,Alves,The Turn,"5' 8""",155 lbs.,"68.0""",Orthodox,20.0,10.0,0.0,,,,,,,,,,,,
94,Sam,Alvey,Smile'N,"6' 2""",185 lbs.,"75.0""",Southpaw,33.0,17.0,1.0,,,,,,,,,,,,
95,Andre,Amado,Dida,"6' 0""",154 lbs.,--,Orthodox,6.0,4.0,1.0,,,,,,,,,,,,
96,Adlan,Amagov,Borz,"6' 2""",170 lbs.,"76.0""",Orthodox,14.0,2.0,1.0,,,,,,,,,,,,
97,Maiara,Amanajas dos Santos,,"5' 5""",115 lbs.,--,Southpaw,7.0,3.0,0.0,,,,,,,,,,,,
98,Rayanne,Amanda,,--,115 lbs.,--,,11.0,5.0,0.0,,,,,,,,,,,,
99,Chris,Amarante,,--,185 lbs.,--,,2.0,0.0,0.0,,,,,,,,,,,,
100,Jimmy,Ambriz,The Titan,"6' 2""",315 lbs.,--,Southpaw,17.0,21.0,1.0,,,,,,,,,,,,
101,JJ,Ambrose,,"5' 10""",170 lbs.,--,Orthodox,28.0,7.0,0.0,,,,,,,,,,,,
102,Alen,Amedovski,,"5' 10""",185 lbs.,"74.0""",Orthodox,8.0,3.0,0.0,,,,,,,,,,,,
103,Makwan,Amirkhani,Mr. Finland,"5' 10""",145 lbs.,"72.0""",Southpaw,17.0,7.0,0.0,,,,,,,,,,,,
104,Bertrand,Amoussou,,"5' 8""",190 lbs.,--,Orthodox,1.0,1.0,0.0,,,,,,,,,,,,
105,Karl,Amoussou,The Psycho,"5' 11""",185 lbs.,--,Orthodox,27.0,7.0,2.0,,,,,,,,,,,,
106,Eryk,Anders,Ya Boi,"6' 1""",185 lbs.,"75.0""",Southpaw,14.0,7.0,0.0,,,,,,,,,,,,
107,Matt,Andersen,,"6' 2""",230 lbs.,--,Southpaw,14.0,8.0,1.0,,,,,,,,,,,,
108,Andy,Anderson,The Hammer,"5' 6""",240 lbs.,--,,0.0,1.0,0.0,,,,,,,,,,,,
109,Lowell,Anderson,,"5' 6""",160 lbs.,--,Orthodox,0.0,1.0,0.0,,,,,,,,,,,,
110,Corey,Anderson,Overtime,"6' 3""",205 lbs.,"79.0""",Orthodox,14.0,5.0,0.0,,,,,,,,,,,,
111,Derek,Anderson,Barbaric,"6' 0""",155 lbs.,--,,14.0,3.0,0.0,,,,,,,,,,,,
112,Megan,Anderson,,"6' 0""",145 lbs.,"72.0""",Orthodox,11.0,5.0,0.0,,,,,,,,,,,,
113,Tatsuya,Ando,,--,135 lbs.,--,,13.0,3.0,1.0,,,,,,,,,,,,
114,Alex,Andrade,El Toro,"5' 11""",200 lbs.,--,Orthodox,10.0,5.0,0.0,,,,,,,,,,,,
115,Jessica,Andrade,Bate Estaca,"5' 1""",125 lbs.,"62.0""",Orthodox,23.0,9.0,0.0,,,,,,,,,,,,
116,Viscardi,Andrade,,"5' 11""",170 lbs.,"75.0""",Orthodox,19.0,6.0,0.0,,,,,,,,,,,,
117,Jermaine,Andre,,"5' 7""",200 lbs.,--,Orthodox,14.0,4.0,0.0,,,,,,,,,,,,
118,Juan,Andres Luna,,--,125 lbs.,--,,12.0,0.0,0.0,,,,,,,,,,,,
119,Dylan,Andrews,The Villain,"6' 1""",185 lbs.,"74.0""",Switch,18.0,7.0,0.0,,,,,,,,,,,,
120,Reese,Andy,Riptide,"6' 0""",205 lbs.,--,Orthodox,7.0,3.0,0.0,,,,,,,,,,,,
121,,Angga,The Hitman,"5' 7""",145 lbs.,"68.0""",Orthodox,13.0,3.0,0.0,,,,,,,,,,,,
122,Julius,Anglickas,,"6' 3""",205 lbs.,--,Orthodox,5.0,1.0,0.0,,,,,,,,,,,,
123,Collin,Anglin,,"5' 9""",145 lbs.,"71.0""",Orthodox,8.0,3.0,0.0,,,,,,,,,,,,
124,Chad,Anheliger,The Monster,"5' 6""",135 lbs.,"64.0""",Orthodox,12.0,5.0,0.0,,,,,,,,,,,,
125,Yoji,Anjo,Mr. 200%,"5' 11""",205 lbs.,--,Orthodox,0.0,5.0,1.0,,,,,,,,,,,,
126,Magomed,Ankalaev,,"6' 3""",205 lbs.,"75.0""",Orthodox,17.0,1.0,0.0,,,,,,,,,,,,
127,Gadzhimurad,Antigulov,,"5' 11""",205 lbs.,"70.0""",Orthodox,20.0,8.0,0.0,,,,,,,,,,,,
128,Adam,Antolin,Captain Chaos,"5' 5""",125 lbs.,"63.0""",Orthodox,12.0,3.0,0.0,,,,,,,,,,,,
129,Angelo,Antonio,,--,205 lbs.,--,Orthodox,1.0,4.0,0.0,,,,,,,,,,,,
130,Azunna,Anyanwu,Zulu,"6' 1""",251 lbs.,--,Orthodox,14.0,5.0,0.0,,,,,,,,,,,,
131,Shinsho,Anzai,Animal,"5' 7""",170 lbs.,"70.0""",Orthodox,10.0,3.0,0.0,,,,,,,,,,,,
132,Shinya,Aoki,Tobikan Judan,"5' 11""",154 lbs.,--,Southpaw,39.0,7.0,0.0,,,,,,,,,,,,
133,,Aoriqileng,The Mongolian Murderer,"5' 7""",135 lbs.,"69.0""",Orthodox,23.0,11.0,0.0,,,,,,,,,,,,
134,Josh,Appelt,,"5' 10""",255 lbs.,--,Southpaw,15.0,7.0,0.0,,,,,,,,,,,,
135,Erik,Apple,,"6' 0""",170 lbs.,--,Orthodox,10.0,3.0,0.0,,,,,,,,,,,,
136,Kenji,Arai,,"5' 10""",145 lbs.,--,Southpaw,15.0,15.0,5.0,,,,,,,,,,,,
137,Romie,Aram,,"5' 10""",170 lbs.,--,Orthodox,7.0,1.0,0.0,,,,,,,,,,,,
138,Felipe,Arantes,Sertanejo,"5' 8""",135 lbs.,"73.0""",Orthodox,18.0,10.0,1.0,,,,,,,,,,,,
139,Igor,Araujo,,"6' 1""",170 lbs.,"77.0""",Orthodox,25.0,9.0,0.0,,,,,,,,,,,,
140,Viviane,Araujo,Vivi,"5' 4""",125 lbs.,"68.0""",Orthodox,11.0,3.0,0.0,,,,,,,,,,,,
141,Julio,Arce,,"5' 7""",135 lbs.,"70.0""",Southpaw,18.0,5.0,0.0,,,,,,,,,,,,
142,Art,Arciniega,King Arthur,"5' 8""",145 lbs.,--,,15.0,7.0,0.0,,,,,,,,,,,,
143,Tristan,Arenal,,--,155 lbs.,--,,7.0,4.0,0.0,,,,,,,,,,,,
144,Dan,Argueta,The Determined,"5' 7""",145 lbs.,"68.0""",Southpaw,8.0,1.0,0.0,,,,,,,,,,,,
145,Hashem,Arkhagha,,"6' 2""",185 lbs.,"75.0""",Orthodox,6.0,1.0,0.0,,,,,,,,,,,,
146,Andrei,Arlovski,The Pitbull,"6' 3""",240 lbs.,"77.0""",Orthodox,34.0,20.0,0.0,,,,,,,,,,,,
147,Joey,Armstrong,,--,--,--,,5.0,2.0,0.0,,,,,,,,,,,,
148,Austin,Arnett,,"6' 0""",145 lbs.,"72.0""",Orthodox,16.0,6.0,0.0,,,,,,,,,,,,
149,Ricardo,Arona,The Brazilian Tiger,"5' 11""",205 lbs.,--,Orthodox,14.0,5.0,0.0,,,,,,,,,,,,
150,Chalid,Arrab,Die Faust,"5' 11""",205 lbs.,--,Orthodox,7.0,3.0,0.0,,,,,,,,,,,,
151,Akbarh,Arreola,El Caballero,"5' 10""",155 lbs.,"71.0""",Southpaw,23.0,11.0,1.0,,,,,,,,,,,,
152,Matt,Arroyo,No Regard,"5' 10""",170 lbs.,"72.0""",Orthodox,3.0,3.0,0.0,,,,,,,,,,,,
153,Antonio,Arroyo,,"6' 3""",185 lbs.,"73.0""",Orthodox,9.0,5.0,0.0,,,,,,,,,,,,
154,Gilles,Arsene,,"5' 9""",190 lbs.,--,Southpaw,1.0,1.0,0.0,,,,,,,,,,,,
155,Veta,Arteaga,,"5' 7""",125 lbs.,--,,3.0,1.0,0.0,,,,,,,,,,,,
156,Cesar,Arzamendia,Goku,"5' 11""",155 lbs.,--,Orthodox,8.0,3.0,0.0,,,,,,,,,,,,
157,Teddy,Ash,Bear,"6' 1""",185 lbs.,"73.0""",Switch,14.0,5.0,0.0,,,,,,,,,,,,
158,Arman,Ashimov,Mustafa Ozturik,"5' 6""",125 lbs.,--,,11.0,3.0,1.0,,,,,,,,,,,,
159,,Asjabharan,,"5' 6""",135 lbs.,--,,7.0,6.0,0.0,,,,,,,,,,,,
160,Askar,Askar,AK-47,"5' 7""",145 lbs.,"69.0""",Orthodox,11.0,1.0,0.0,,,,,,,,,,,,
161,Askar,Askarov,Bullet,"5' 6""",125 lbs.,"67.0""",Orthodox,14.0,1.0,1.0,,,,,,,,,,,,
162,Cyril,Asker,Silverback,"6' 0""",247 lbs.,"74.0""",Orthodox,9.0,4.0,0.0,,,,,,,,,,,,
163,Khusein,Askhabov,Lion,"5' 8""",135 lbs.,--,,23.0,0.0,0.0,,,,,,,,,,,,
164,Scott,Askham,,"6' 3""",185 lbs.,"75.0""",Southpaw,14.0,4.0,0.0,,,,,,,,,,,,
165,Ben,Askren,Funky,"5' 11""",170 lbs.,"73.0""",Orthodox,19.0,2.0,0.0,,,,,,,,,,,,
166,Ibo,Aslan,The Last Ottoman,"6' 3""",205 lbs.,--,,8.0,0.0,0.0,,,,,,,,,,,,
167,Tom,Aspinall,,"6' 5""",256 lbs.,"78.0""",Orthodox,12.0,2.0,0.0,,,,,,,,,,,,
168,Bruno,Assis,Brunao,"6' 2""",185 lbs.,--,Orthodox,8.0,4.0,0.0,,,,,,,,,,,,
169,Junior,Assuncao,,"5' 9""",145 lbs.,"72.0""",Orthodox,16.0,6.0,0.0,,,,,,,,,,,,
170,Raphael,Assuncao,,"5' 5""",135 lbs.,"66.0""",Orthodox,27.0,9.0,0.0,,,,,,,,,,,,
171,Bazigit,Atajev,Volk,"6' 1""",230 lbs.,--,Orthodox,17.0,1.0,0.0,,,,,,,,,,,,
172,Rich,Attonito,The Raging Bull,"5' 10""",170 lbs.,"72.0""",Orthodox,10.0,5.0,0.0,,,,,,,,,,,,
173,Olivier,Aubin-Mercier,The Canadian Gangster,"5' 9""",155 lbs.,"70.0""",Southpaw,11.0,5.0,0.0,,,,,,,,,,,,
174,Pat,Audinwood,Awesomely Awesome,"6' 0""",155 lbs.,--,Orthodox,11.0,2.0,1.0,,,,,,,,,,,,
175,Jose,Augusto,Gugu,"6' 3""",251 lbs.,--,,6.0,2.0,0.0,,,,,,,,,,,,
176,Marcus,Aurelio,Maximus,"5' 10""",155 lbs.,"74.0""",Orthodox,22.0,10.0,0.0,,,,,,,,,,,,
177,David,Avellan,,"5' 9""",185 lbs.,--,Orthodox,2.0,1.0,0.0,,,,,,,,,,,,
178,Blas,Avena,The Disciple,"6' 0""",170 lbs.,"74.0""",Orthodox,8.0,7.0,0.0,,,,,,,,,,,,
179,Levi,Avera,,"6' 1""",170 lbs.,--,,18.0,15.0,0.0,,,,,,,,,,,,
180,Anthony,Avila,,"5' 7""",145 lbs.,--,,13.0,5.0,0.0,,,,,,,,,,,,
181,Chris,Avila,,"5' 10""",145 lbs.,--,Orthodox,5.0,4.0,0.0,,,,,,,,,,,,
182,Julia,Avila,Raging Panda,"5' 7""",135 lbs.,"68.0""",Orthodox,9.0,2.0,0.0,,,,,,,,,,,,
183,Saad,Awad,Assassin,"5' 11""",155 lbs.,--,,20.0,9.0,0.0,,,,,,,,,,,,
184,Javy,Ayala,Eye Candy,"6' 1""",265 lbs.,--,,10.0,5.0,0.0,,,,,,,,,,,,
185,Jessin,Ayari,,"6' 0""",155 lbs.,"73.0""",Orthodox,16.0,6.0,0.0,,,,,,,,,,,,
186,Abu,Azaitar,Captain Morocco,"5' 9""",185 lbs.,"76.0""",Orthodox,14.0,3.0,1.0,,,,,,,,,,,,
187,Ottman,Azaitar,Bulldozer,"5' 8""",155 lbs.,"71.0""",Switch,13.0,0.0,0.0,,,,,,,,,,,,
188,Luiz,Azeredo,,"5' 9""",154 lbs.,--,Orthodox,15.0,10.0,0.0,,,,,,,,,,,,
189,Luciano,Azevedo,,"6' 3""",161 lbs.,--,Orthodox,17.0,9.0,1.0,,,,,,,,,,,,
190,Hunter,Azure,,"5' 8""",145 lbs.,"69.0""",Orthodox,9.0,2.0,0.0,,,,,,,,,,,,
191,,,,,,,,,,,,win,Royce Gracie  Patrick Smith,0  0,4  1,1  0,0  0,Open Weight,KO/TKO  Punches,1.0,1:17,"
              UFC 2: No Way Out
            "
192,,,,,,,,,,,,win,Royce Gracie  Remco Pardoel,0  0,0  0,1  0,1  0,Open Weight,SUB  Gi Choke,1.0,1:31,"
              UFC 2: No Way Out
            "
193,,,,,,,,,,,,win,Patrick Smith  Johnny Rhodes,0  0,5  4,0  0,1  0,Open Weight,SUB  Guillotine Choke,1.0,1:07,"
              UFC 2: No Way Out
            "
194,,,,,,,,,,,,win,Royce Gracie  Jason DeLucia,0  0,0  0,0  1,1  0,Open Weight,SUB  Armbar,1.0,1:07,"
              UFC 2: No Way Out
            "
195,,,,,,,,,,,,win,Remco Pardoel  Orlando Wiet,0  0,7  1,1  0,0  0,Open Weight,KO/TKO  Elbows,1.0,1:29,"
              UFC 2: No Way Out
            "
196,,,,,,,,,,,,win,Johnny Rhodes  Fred Ettish,1  0,13  4,0  0,1  0,Open Weight,SUB  Bulldog Choke,1.0,3:07,"
              UFC 2: No Way Out
            "
197,,,,,,,,,,,,win,Patrick Smith  Scott Morris,0  0,13  0,0  0,0  0,Open Weight,KO/TKO  Elbows,1.0,0:30,"
              UFC 2: No Way Out
            "
198,,,,,,,,,,,,win,Royce Gracie  Minoki Ichihara,0  0,2  3,1  0,2  0,Open Weight,SUB  Armbar,1.0,5:08,"
              UFC 2: No Way Out
            "
199,,,,,,,,,,,,win,Jason DeLucia  Scott Baker,0  0,3  0,0  1,5  0,Open Weight,SUB  Triangle Choke,1.0,6:41,"
              UFC 2: No Way Out
            "
200,,,,,,,,,,,,win,Remco Pardoel  Alberta Cerra Leon,0  0,4  1,1  0,1  0,Open Weight,SUB  Ezekiel Choke,1.0,9:51,"
              UFC 2: No Way Out
            "
201,,,,,,,,,,,,win,Orlando Wiet  Robert Lucarelli,0  0,8  2,0  1,0  1,Open Weight,KO/TKO,1.0,2:50,"
              UFC 2: No Way Out
            "
202,,,,,,,,,,,,win,Frank Hamaker  Thaddeus Luster,0  0,2  0,1  0,3  0,Open Weight,SUB  Keylock,1.0,4:52,"
              UFC 2: No Way Out
            "
203,,,,,,,,,,,,win,Johnny Rhodes  David Levicki,0  0,11  4,1  0,0  0,Open Weight,KO/TKO  Punches,1.0,12:13,"
              UFC 2: No Way Out
            "
204,,,,,,,,,,,,win,Patrick Smith  Ray Wizard,0  0,1  1,0  0,1  0,Open Weight,SUB  Guillotine Choke,1.0,0:58,"
              UFC 2: No Way Out
            "
205,,,,,,,,,,,,win,Scott Morris  Sean Daugherty,0  0,1  0,1  0,1  0,Open Weight,SUB  Guillotine Choke,1.0,0:20,"
              UFC 2: No Way Out
            "
206,,,,,,,,,,,,win,Royce Gracie  Patrick Smith,0  0,4  1,1  0,0  0,Open Weight,KO/TKO  Punches,1.0,1:17,"
              UFC 2: No Way Out
            "
207,,,,,,,,,,,,win,Royce Gracie  Remco Pardoel,0  0,0  0,1  0,1  0,Open Weight,SUB  Gi Choke,1.0,1:31,"
              UFC 2: No Way Out
            "
208,,,,,,,,,,,,win,Patrick Smith  Johnny Rhodes,0  0,5  4,0  0,1  0,Open Weight,SUB  Guillotine Choke,1.0,1:07,"
              UFC 2: No Way Out
            "
209,,,,,,,,,,,,win,Royce Gracie  Jason DeLucia,0  0,0  0,0  1,1  0,Open Weight,SUB  Armbar,1.0,1:07,"
              UFC 2: No Way Out
            "
