,First,Last,Nickname,Ht.,Wt.,Reach,Stance,W,L,D,Belt,W/L,Fighter,Kd,Str,Td,Sub,Weight class,Method,Round,Time,Event
446,,,,,,,,,,,,win,Royce Gracie  Patrick Smith,0  0,4  1,1  0,0  0,Open Weight,KO/TKO  Punches,1.0,1:17,"
              UFC 2: No Way Out
            "
447,,,,,,,,,,,,win,Royce Gracie  Remco Pardoel,0  0,0  0,1  0,1  0,Open Weight,SUB  Gi Choke,1.0,1:31,"
              UFC 2: No Way Out
            "
448,,,,,,,,,,,,win,Patrick Smith  Johnny Rhodes,0  0,5  4,0  0,1  0,Open Weight,SUB  Guillotine Choke,1.0,1:07,"
              UFC 2: No Way Out
            "
449,,,,,,,,,,,,win,Royce Gracie  Jason DeLucia,0  0,0  0,0  1,1  0,Open Weight,SUB  Armbar,1.0,1:07,"
              UFC 2: No Way Out
            "
450,,,,,,,,,,,,win,Remco Pardoel  Orlando Wiet,0  0,7  1,1  0,0  0,Open Weight,KO/TKO  Elbows,1.0,1:29,"
              UFC 2: No Way Out
            "
451,,,,,,,,,,,,win,Johnny Rhodes  Fred Ettish,1  0,13  4,0  0,1  0,Open Weight,SUB  Bulldog Choke,1.0,3:07,"
              UFC 2: No Way Out
            "
452,,,,,,,,,,,,win,Patrick Smith  Scott Morris,0  0,13  0,0  0,0  0,Open Weight,KO/TKO  Elbows,1.0,0:30,"
              UFC 2: No Way Out
            "
453,,,,,,,,,,,,win,Royce Gracie  Minoki Ichihara,0  0,2  3,1  0,2  0,Open Weight,SUB  Armbar,1.0,5:08,"
              UFC 2: No Way Out
            "
454,,,,,,,,,,,,win,Jason DeLucia  Scott Baker,0  0,3  0,0  1,5  0,Open Weight,SUB  Triangle Choke,1.0,6:41,"
              UFC 2: No Way Out
            "
455,,,,,,,,,,,,win,Remco Pardoel  Alberta Cerra Leon,0  0,4  1,1  0,1  0,Open Weight,SUB  Ezekiel Choke,1.0,9:51,"
              UFC 2: No Way Out
            "
456,,,,,,,,,,,,win,Orlando Wiet  Robert Lucarelli,0  0,8  2,0  1,0  1,Open Weight,KO/TKO,1.0,2:50,"
              UFC 2: No Way Out
            "
457,,,,,,,,,,,,win,Frank Hamaker  Thaddeus Luster,0  0,2  0,1  0,3  0,Open Weight,SUB  Keylock,1.0,4:52,"
              UFC 2: No Way Out
            "
458,,,,,,,,,,,,win,Johnny Rhodes  David Levicki,0  0,11  4,1  0,0  0,Open Weight,KO/TKO  Punches,1.0,12:13,"
              UFC 2: No Way Out
            "
459,,,,,,,,,,,,win,Patrick Smith  Ray Wizard,0  0,1  1,0  0,1  0,Open Weight,SUB  Guillotine Choke,1.0,0:58,"
              UFC 2: No Way Out
            "
460,,,,,,,,,,,,win,Scott Morris  Sean Daugherty,0  0,1  0,1  0,1  0,Open Weight,SUB  Guillotine Choke,1.0,0:20,"
              UFC 2: No Way Out
            "
461,,,,,,,,,,,,win,Royce Gracie  Patrick Smith,0  0,4  1,1  0,0  0,Open Weight,KO/TKO  Punches,1.0,1:17,"
              UFC 2: No Way Out
            "
462,,,,,,,,,,,,win,Royce Gracie  Remco Pardoel,0  0,0  0,1  0,1  0,Open Weight,SUB  Gi Choke,1.0,1:31,"
              UFC 2: No Way Out
            "
463,,,,,,,,,,,,win,Patrick Smith  Johnny Rhodes,0  0,5  4,0  0,1  0,Open Weight,SUB  Guillotine Choke,1.0,1:07,"
              UFC 2: No Way Out
            "
464,,,,,,,,,,,,win,Royce Gracie  Jason DeLucia,0  0,0  0,0  1,1  0,Open Weight,SUB  Armbar,1.0,1:07,"
              UFC 2: No Way Out
            "
465,,,,,,,,,,,,win,Remco Pardoel  Orlando Wiet,0  0,7  1,1  0,0  0,Open Weight,KO/TKO  Elbows,1.0,1:29,"
              UFC 2: No Way Out
            "
466,,,,,,,,,,,,win,Johnny Rhodes  Fred Ettish,1  0,13  4,0  0,1  0,Open Weight,SUB  Bulldog Choke,1.0,3:07,"
              UFC 2: No Way Out
            "
467,,,,,,,,,,,,win,Patrick Smith  Scott Morris,0  0,13  0,0  0,0  0,Open Weight,KO/TKO  Elbows,1.0,0:30,"
              UFC 2: No Way Out
            "
468,,,,,,,,,,,,win,Royce Gracie  Minoki Ichihara,0  0,2  3,1  0,2  0,Open Weight,SUB  Armbar,1.0,5:08,"
              UFC 2: No Way Out
            "
469,,,,,,,,,,,,win,Jason DeLucia  Scott Baker,0  0,3  0,0  1,5  0,Open Weight,SUB  Triangle Choke,1.0,6:41,"
              UFC 2: No Way Out
            "
470,,,,,,,,,,,,win,Remco Pardoel  Alberta Cerra Leon,0  0,4  1,1  0,1  0,Open Weight,SUB  Ezekiel Choke,1.0,9:51,"
              UFC 2: No Way Out
            "
471,,,,,,,,,,,,win,Orlando Wiet  Robert Lucarelli,0  0,8  2,0  1,0  1,Open Weight,KO/TKO,1.0,2:50,"
              UFC 2: No Way Out
            "
472,,,,,,,,,,,,win,Frank Hamaker  Thaddeus Luster,0  0,2  0,1  0,3  0,Open Weight,SUB  Keylock,1.0,4:52,"
              UFC 2: No Way Out
            "
473,,,,,,,,,,,,win,Johnny Rhodes  David Levicki,0  0,11  4,1  0,0  0,Open Weight,KO/TKO  Punches,1.0,12:13,"
              UFC 2: No Way Out
            "
474,,,,,,,,,,,,win,Patrick Smith  Ray Wizard,0  0,1  1,0  0,1  0,Open Weight,SUB  Guillotine Choke,1.0,0:58,"
              UFC 2: No Way Out
            "
475,,,,,,,,,,,,win,Scott Morris  Sean Daugherty,0  0,1  0,1  0,1  0,Open Weight,SUB  Guillotine Choke,1.0,0:20,"
              UFC 2: No Way Out
            "
476,,,,,,,,,,,,win,Royce Gracie  Patrick Smith,0  0,4  1,1  0,0  0,Open Weight,KO/TKO  Punches,1.0,1:17,"
              UFC 2: No Way Out
            "
477,,,,,,,,,,,,win,Royce Gracie  Remco Pardoel,0  0,0  0,1  0,1  0,Open Weight,SUB  Gi Choke,1.0,1:31,"
              UFC 2: No Way Out
            "
478,,,,,,,,,,,,win,Patrick Smith  Johnny Rhodes,0  0,5  4,0  0,1  0,Open Weight,SUB  Guillotine Choke,1.0,1:07,"
              UFC 2: No Way Out
            "
479,,,,,,,,,,,,win,Royce Gracie  Jason DeLucia,0  0,0  0,0  1,1  0,Open Weight,SUB  Armbar,1.0,1:07,"
              UFC 2: No Way Out
            "
480,,,,,,,,,,,,win,Remco Pardoel  Orlando Wiet,0  0,7  1,1  0,0  0,Open Weight,KO/TKO  Elbows,1.0,1:29,"
              UFC 2: No Way Out
            "
481,,,,,,,,,,,,win,Johnny Rhodes  Fred Ettish,1  0,13  4,0  0,1  0,Open Weight,SUB  Bulldog Choke,1.0,3:07,"
              UFC 2: No Way Out
            "
482,,,,,,,,,,,,win,Patrick Smith  Scott Morris,0  0,13  0,0  0,0  0,Open Weight,KO/TKO  Elbows,1.0,0:30,"
              UFC 2: No Way Out
            "
483,,,,,,,,,,,,win,Royce Gracie  Minoki Ichihara,0  0,2  3,1  0,2  0,Open Weight,SUB  Armbar,1.0,5:08,"
              UFC 2: No Way Out
            "
484,,,,,,,,,,,,win,Jason DeLucia  Scott Baker,0  0,3  0,0  1,5  0,Open Weight,SUB  Triangle Choke,1.0,6:41,"
              UFC 2: No Way Out
            "
485,,,,,,,,,,,,win,Remco Pardoel  Alberta Cerra Leon,0  0,4  1,1  0,1  0,Open Weight,SUB  Ezekiel Choke,1.0,9:51,"
              UFC 2: No Way Out
            "
486,,,,,,,,,,,,win,Orlando Wiet  Robert Lucarelli,0  0,8  2,0  1,0  1,Open Weight,KO/TKO,1.0,2:50,"
              UFC 2: No Way Out
            "
487,,,,,,,,,,,,win,Frank Hamaker  Thaddeus Luster,0  0,2  0,1  0,3  0,Open Weight,SUB  Keylock,1.0,4:52,"
              UFC 2: No Way Out
            "
488,,,,,,,,,,,,win,Johnny Rhodes  David Levicki,0  0,11  4,1  0,0  0,Open Weight,KO/TKO  Punches,1.0,12:13,"
              UFC 2: No Way Out
            "
489,,,,,,,,,,,,win,Patrick Smith  Ray Wizard,0  0,1  1,0  0,1  0,Open Weight,SUB  Guillotine Choke,1.0,0:58,"
              UFC 2: No Way Out
            "
490,,,,,,,,,,,,win,Scott Morris  Sean Daugherty,0  0,1  0,1  0,1  0,Open Weight,SUB  Guillotine Choke,1.0,0:20,"
              UFC 2: No Way Out
            "
491,,,,,,,,,,,,win,Royce Gracie  Patrick Smith,0  0,4  1,1  0,0  0,Open Weight,KO/TKO  Punches,1.0,1:17,"
              UFC 2: No Way Out
            "
492,,,,,,,,,,,,win,Royce Gracie  Remco Pardoel,0  0,0  0,1  0,1  0,Open Weight,SUB  Gi Choke,1.0,1:31,"
              UFC 2: No Way Out
            "
493,,,,,,,,,,,,win,Patrick Smith  Johnny Rhodes,0  0,5  4,0  0,1  0,Open Weight,SUB  Guillotine Choke,1.0,1:07,"
              UFC 2: No Way Out
            "
494,,,,,,,,,,,,win,Royce Gracie  Jason DeLucia,0  0,0  0,0  1,1  0,Open Weight,SUB  Armbar,1.0,1:07,"
              UFC 2: No Way Out
            "
495,,,,,,,,,,,,win,Remco Pardoel  Orlando Wiet,0  0,7  1,1  0,0  0,Open Weight,KO/TKO  Elbows,1.0,1:29,"
              UFC 2: No Way Out
            "
496,,,,,,,,,,,,win,Johnny Rhodes  Fred Ettish,1  0,13  4,0  0,1  0,Open Weight,SUB  Bulldog Choke,1.0,3:07,"
              UFC 2: No Way Out
            "
497,,,,,,,,,,,,win,Patrick Smith  Scott Morris,0  0,13  0,0  0,0  0,Open Weight,KO/TKO  Elbows,1.0,0:30,"
              UFC 2: No Way Out
            "
498,,,,,,,,,,,,win,Royce Gracie  Minoki Ichihara,0  0,2  3,1  0,2  0,Open Weight,SUB  Armbar,1.0,5:08,"
              UFC 2: No Way Out
            "
499,,,,,,,,,,,,win,Jason DeLucia  Scott Baker,0  0,3  0,0  1,5  0,Open Weight,SUB  Triangle Choke,1.0,6:41,"
              UFC 2: No Way Out
            "
500,,,,,,,,,,,,win,Remco Pardoel  Alberta Cerra Leon,0  0,4  1,1  0,1  0,Open Weight,SUB  Ezekiel Choke,1.0,9:51,"
              UFC 2: No Way Out
            "
501,,,,,,,,,,,,win,Orlando Wiet  Robert Lucarelli,0  0,8  2,0  1,0  1,Open Weight,KO/TKO,1.0,2:50,"
              UFC 2: No Way Out
            "
502,,,,,,,,,,,,win,Frank Hamaker  Thaddeus Luster,0  0,2  0,1  0,3  0,Open Weight,SUB  Keylock,1.0,4:52,"
              UFC 2: No Way Out
            "
503,,,,,,,,,,,,win,Johnny Rhodes  David Levicki,0  0,11  4,1  0,0  0,Open Weight,KO/TKO  Punches,1.0,12:13,"
              UFC 2: No Way Out
            "
504,,,,,,,,,,,,win,Patrick Smith  Ray Wizard,0  0,1  1,0  0,1  0,Open Weight,SUB  Guillotine Choke,1.0,0:58,"
              UFC 2: No Way Out
            "
505,,,,,,,,,,,,win,Scott Morris  Sean Daugherty,0  0,1  0,1  0,1  0,Open Weight,SUB  Guillotine Choke,1.0,0:20,"
              UFC 2: No Way Out
            "
506,,,,,,,,,,,,win,Royce Gracie  Patrick Smith,0  0,4  1,1  0,0  0,Open Weight,KO/TKO  Punches,1.0,1:17,"
              UFC 2: No Way Out
            "
507,,,,,,,,,,,,win,Royce Gracie  Remco Pardoel,0  0,0  0,1  0,1  0,Open Weight,SUB  Gi Choke,1.0,1:31,"
              UFC 2: No Way Out
            "
508,,,,,,,,,,,,win,Patrick Smith  Johnny Rhodes,0  0,5  4,0  0,1  0,Open Weight,SUB  Guillotine Choke,1.0,1:07,"
              UFC 2: No Way Out
            "
509,,,,,,,,,,,,win,Royce Gracie  Jason DeLucia,0  0,0  0,0  1,1  0,Open Weight,SUB  Armbar,1.0,1:07,"
              UFC 2: No Way Out
            "
510,,,,,,,,,,,,win,Remco Pardoel  Orlando Wiet,0  0,7  1,1  0,0  0,Open Weight,KO/TKO  Elbows,1.0,1:29,"
              UFC 2: No Way Out
            "
511,,,,,,,,,,,,win,Johnny Rhodes  Fred Ettish,1  0,13  4,0  0,1  0,Open Weight,SUB  Bulldog Choke,1.0,3:07,"
              UFC 2: No Way Out
            "
512,,,,,,,,,,,,win,Patrick Smith  Scott Morris,0  0,13  0,0  0,0  0,Open Weight,KO/TKO  Elbows,1.0,0:30,"
              UFC 2: No Way Out
            "
513,,,,,,,,,,,,win,Royce Gracie  Minoki Ichihara,0  0,2  3,1  0,2  0,Open Weight,SUB  Armbar,1.0,5:08,"
              UFC 2: No Way Out
            "
514,,,,,,,,,,,,win,Jason DeLucia  Scott Baker,0  0,3  0,0  1,5  0,Open Weight,SUB  Triangle Choke,1.0,6:41,"
              UFC 2: No Way Out
            "
515,,,,,,,,,,,,win,Remco Pardoel  Alberta Cerra Leon,0  0,4  1,1  0,1  0,Open Weight,SUB  Ezekiel Choke,1.0,9:51,"
              UFC 2: No Way Out
            "
516,,,,,,,,,,,,win,Orlando Wiet  Robert Lucarelli,0  0,8  2,0  1,0  1,Open Weight,KO/TKO,1.0,2:50,"
              UFC 2: No Way Out
            "
517,,,,,,,,,,,,win,Frank Hamaker  Thaddeus Luster,0  0,2  0,1  0,3  0,Open Weight,SUB  Keylock,1.0,4:52,"
              UFC 2: No Way Out
            "
518,,,,,,,,,,,,win,Johnny Rhodes  David Levicki,0  0,11  4,1  0,0  0,Open Weight,KO/TKO  Punches,1.0,12:13,"
              UFC 2: No Way Out
            "
519,,,,,,,,,,,,win,Patrick Smith  Ray Wizard,0  0,1  1,0  0,1  0,Open Weight,SUB  Guillotine Choke,1.0,0:58,"
              UFC 2: No Way Out
            "
520,,,,,,,,,,,,win,Scott Morris  Sean Daugherty,0  0,1  0,1  0,1  0,Open Weight,SUB  Guillotine Choke,1.0,0:20,"
              UFC 2: No Way Out
            "
521,,,,,,,,,,,,win,Royce Gracie  Patrick Smith,0  0,4  1,1  0,0  0,Open Weight,KO/TKO  Punches,1.0,1:17,"
              UFC 2: No Way Out
            "
522,,,,,,,,,,,,win,Royce Gracie  Remco Pardoel,0  0,0  0,1  0,1  0,Open Weight,SUB  Gi Choke,1.0,1:31,"
              UFC 2: No Way Out
            "
523,,,,,,,,,,,,win,Patrick Smith  Johnny Rhodes,0  0,5  4,0  0,1  0,Open Weight,SUB  Guillotine Choke,1.0,1:07,"
              UFC 2: No Way Out
            "
524,,,,,,,,,,,,win,Royce Gracie  Jason DeLucia,0  0,0  0,0  1,1  0,Open Weight,SUB  Armbar,1.0,1:07,"
              UFC 2: No Way Out
            "
525,,,,,,,,,,,,win,Remco Pardoel  Orlando Wiet,0  0,7  1,1  0,0  0,Open Weight,KO/TKO  Elbows,1.0,1:29,"
              UFC 2: No Way Out
            "
526,,,,,,,,,,,,win,Johnny Rhodes  Fred Ettish,1  0,13  4,0  0,1  0,Open Weight,SUB  Bulldog Choke,1.0,3:07,"
              UFC 2: No Way Out
            "
527,,,,,,,,,,,,win,Patrick Smith  Scott Morris,0  0,13  0,0  0,0  0,Open Weight,KO/TKO  Elbows,1.0,0:30,"
              UFC 2: No Way Out
            "
528,,,,,,,,,,,,win,Royce Gracie  Minoki Ichihara,0  0,2  3,1  0,2  0,Open Weight,SUB  Armbar,1.0,5:08,"
              UFC 2: No Way Out
            "
529,,,,,,,,,,,,win,Jason DeLucia  Scott Baker,0  0,3  0,0  1,5  0,Open Weight,SUB  Triangle Choke,1.0,6:41,"
              UFC 2: No Way Out
            "
530,,,,,,,,,,,,win,Remco Pardoel  Alberta Cerra Leon,0  0,4  1,1  0,1  0,Open Weight,SUB  Ezekiel Choke,1.0,9:51,"
              UFC 2: No Way Out
            "
531,,,,,,,,,,,,win,Orlando Wiet  Robert Lucarelli,0  0,8  2,0  1,0  1,Open Weight,KO/TKO,1.0,2:50,"
              UFC 2: No Way Out
            "
532,,,,,,,,,,,,win,Frank Hamaker  Thaddeus Luster,0  0,2  0,1  0,3  0,Open Weight,SUB  Keylock,1.0,4:52,"
              UFC 2: No Way Out
            "
533,,,,,,,,,,,,win,Johnny Rhodes  David Levicki,0  0,11  4,1  0,0  0,Open Weight,KO/TKO  Punches,1.0,12:13,"
              UFC 2: No Way Out
            "
534,,,,,,,,,,,,win,Patrick Smith  Ray Wizard,0  0,1  1,0  0,1  0,Open Weight,SUB  Guillotine Choke,1.0,0:58,"
              UFC 2: No Way Out
            "
535,,,,,,,,,,,,win,Scott Morris  Sean Daugherty,0  0,1  0,1  0,1  0,Open Weight,SUB  Guillotine Choke,1.0,0:20,"
              UFC 2: No Way Out
            "
536,,,,,,,,,,,,win,Royce Gracie  Patrick Smith,0  0,4  1,1  0,0  0,Open Weight,KO/TKO  Punches,1.0,1:17,"
              UFC 2: No Way Out
            "
537,,,,,,,,,,,,win,Royce Gracie  Remco Pardoel,0  0,0  0,1  0,1  0,Open Weight,SUB  Gi Choke,1.0,1:31,"
              UFC 2: No Way Out
            "
538,,,,,,,,,,,,win,Patrick Smith  Johnny Rhodes,0  0,5  4,0  0,1  0,Open Weight,SUB  Guillotine Choke,1.0,1:07,"
              UFC 2: No Way Out
            "
539,,,,,,,,,,,,win,Royce Gracie  Jason DeLucia,0  0,0  0,0  1,1  0,Open Weight,SUB  Armbar,1.0,1:07,"
              UFC 2: No Way Out
            "
540,,,,,,,,,,,,win,Remco Pardoel  Orlando Wiet,0  0,7  1,1  0,0  0,Open Weight,KO/TKO  Elbows,1.0,1:29,"
              UFC 2: No Way Out
            "
541,,,,,,,,,,,,win,Johnny Rhodes  Fred Ettish,1  0,13  4,0  0,1  0,Open Weight,SUB  Bulldog Choke,1.0,3:07,"
              UFC 2: No Way Out
            "
542,,,,,,,,,,,,win,Patrick Smith  Scott Morris,0  0,13  0,0  0,0  0,Open Weight,KO/TKO  Elbows,1.0,0:30,"
              UFC 2: No Way Out
            "
543,,,,,,,,,,,,win,Royce Gracie  Minoki Ichihara,0  0,2  3,1  0,2  0,Open Weight,SUB  Armbar,1.0,5:08,"
              UFC 2: No Way Out
            "
544,,,,,,,,,,,,win,Jason DeLucia  Scott Baker,0  0,3  0,0  1,5  0,Open Weight,SUB  Triangle Choke,1.0,6:41,"
              UFC 2: No Way Out
            "
545,,,,,,,,,,,,win,Remco Pardoel  Alberta Cerra Leon,0  0,4  1,1  0,1  0,Open Weight,SUB  Ezekiel Choke,1.0,9:51,"
              UFC 2: No Way Out
            "
546,,,,,,,,,,,,win,Orlando Wiet  Robert Lucarelli,0  0,8  2,0  1,0  1,Open Weight,KO/TKO,1.0,2:50,"
              UFC 2: No Way Out
            "
547,,,,,,,,,,,,win,Frank Hamaker  Thaddeus Luster,0  0,2  0,1  0,3  0,Open Weight,SUB  Keylock,1.0,4:52,"
              UFC 2: No Way Out
            "
548,,,,,,,,,,,,win,Johnny Rhodes  David Levicki,0  0,11  4,1  0,0  0,Open Weight,KO/TKO  Punches,1.0,12:13,"
              UFC 2: No Way Out
            "
549,,,,,,,,,,,,win,Patrick Smith  Ray Wizard,0  0,1  1,0  0,1  0,Open Weight,SUB  Guillotine Choke,1.0,0:58,"
              UFC 2: No Way Out
            "
550,,,,,,,,,,,,win,Scott Morris  Sean Daugherty,0  0,1  0,1  0,1  0,Open Weight,SUB  Guillotine Choke,1.0,0:20,"
              UFC 2: No Way Out
            "
551,,,,,,,,,,,,win,Royce Gracie  Patrick Smith,0  0,4  1,1  0,0  0,Open Weight,KO/TKO  Punches,1.0,1:17,"
              UFC 2: No Way Out
            "
552,,,,,,,,,,,,win,Royce Gracie  Remco Pardoel,0  0,0  0,1  0,1  0,Open Weight,SUB  Gi Choke,1.0,1:31,"
              UFC 2: No Way Out
            "
553,,,,,,,,,,,,win,Patrick Smith  Johnny Rhodes,0  0,5  4,0  0,1  0,Open Weight,SUB  Guillotine Choke,1.0,1:07,"
              UFC 2: No Way Out
            "
554,,,,,,,,,,,,win,Royce Gracie  Jason DeLucia,0  0,0  0,0  1,1  0,Open Weight,SUB  Armbar,1.0,1:07,"
              UFC 2: No Way Out
            "
555,,,,,,,,,,,,win,Remco Pardoel  Orlando Wiet,0  0,7  1,1  0,0  0,Open Weight,KO/TKO  Elbows,1.0,1:29,"
              UFC 2: No Way Out
            "
556,,,,,,,,,,,,win,Johnny Rhodes  Fred Ettish,1  0,13  4,0  0,1  0,Open Weight,SUB  Bulldog Choke,1.0,3:07,"
              UFC 2: No Way Out
            "
557,,,,,,,,,,,,win,Patrick Smith  Scott Morris,0  0,13  0,0  0,0  0,Open Weight,KO/TKO  Elbows,1.0,0:30,"
              UFC 2: No Way Out
            "
558,,,,,,,,,,,,win,Royce Gracie  Minoki Ichihara,0  0,2  3,1  0,2  0,Open Weight,SUB  Armbar,1.0,5:08,"
              UFC 2: No Way Out
            "
559,,,,,,,,,,,,win,Jason DeLucia  Scott Baker,0  0,3  0,0  1,5  0,Open Weight,SUB  Triangle Choke,1.0,6:41,"
              UFC 2: No Way Out
            "
560,,,,,,,,,,,,win,Remco Pardoel  Alberta Cerra Leon,0  0,4  1,1  0,1  0,Open Weight,SUB  Ezekiel Choke,1.0,9:51,"
              UFC 2: No Way Out
            "
561,,,,,,,,,,,,win,Orlando Wiet  Robert Lucarelli,0  0,8  2,0  1,0  1,Open Weight,KO/TKO,1.0,2:50,"
              UFC 2: No Way Out
            "
562,,,,,,,,,,,,win,Frank Hamaker  Thaddeus Luster,0  0,2  0,1  0,3  0,Open Weight,SUB  Keylock,1.0,4:52,"
              UFC 2: No Way Out
            "
563,,,,,,,,,,,,win,Johnny Rhodes  David Levicki,0  0,11  4,1  0,0  0,Open Weight,KO/TKO  Punches,1.0,12:13,"
              UFC 2: No Way Out
            "
564,,,,,,,,,,,,win,Patrick Smith  Ray Wizard,0  0,1  1,0  0,1  0,Open Weight,SUB  Guillotine Choke,1.0,0:58,"
              UFC 2: No Way Out
            "
565,,,,,,,,,,,,win,Scott Morris  Sean Daugherty,0  0,1  0,1  0,1  0,Open Weight,SUB  Guillotine Choke,1.0,0:20,"
              UFC 2: No Way Out
            "
